Zak;SQM;Vacant
810092305;448,285;1
810092405;448,14;4
810092505;435,38;3
810092605;441,79;3
810092705;451,76;1
810092805;446,405;5
810092905;451,315;3
810093005;456,695;1
810093105;483,01;4
810093205;446,37;2
810093305;471,87;0
810093405;430,69;1
810093505;463,285;4
810093605;458,185;4
810093705;437,05;2
810093805;447,005;3
810097605;445,57;3
810097705;451,445;2
810097805;453,155;2
810097905;468,58;2
810129401;1292,925;12
810129501;1106,64;7
810129601;1291,165;3
810129701;1311,835;11
810129901;613,465;1
810130101;1309,57;13
810130201;1305,72;10
810130401;1212,095;6
810130501;1209,29;11
810133104;1003,82;5
810133204;810,895;2
810133505;454,165;2
810133605;563,277;2
810133705;685,06;3
810134004;456,58;6
810134104;553,47;4
810134204;698,075;4
810134304;450,71;5
810134404;454,95;5
810134504;462,02;4
810134604;451,805;5
810134704;449,91;4
810134804;452,12;3
810134904;442,495;2
810135004;452,845;4
810135104;672,72;5
810137701;705,44;3
810137801;452,55;3
810137901;427,67;2
810138001;425,59;4
810138101;438,57;2
810138201;682,105;2
810175702;51,9;0
810175802;51,9;1
810175902;51,9;1
810178701;606,7;4
810178801;594,91;3
810178901;593,235;4
810179001;594,12;3
810179101;598,035;6
810179201;596,895;3
810180302;48,8;1
810209502;62,51;1
810229901;624,84;1
810329901;622,16;2
811000702;698,575;1
811005202;697,03;0
811167306;592,995;1
811167406;604,605;0
811167506;806,265;1
811167606;688,84;0
811167706;682,67;0
811167806;688,92;1
811167906;787,09;1
811168006;591,77;0
811168106;591,87;0
811168206;626,12;1
811168306;636,725;1
811168406;630,625;0
811168606;789,47;1
811168706;612,41;1
811168906;614,93;2
811169006;792,385;1
811169106;611,81;2
811169206;613,055;3
811169306;781,67;0
811169406;630,835;3
811169506;627,75;3
811169606;785,11;3
811169706;610,56;2
811169806;598,655;2
811169906;785,165;0
811170006;611,87;0
811170106;625,48;1
811170206;624,75;1
811170306;647,275;2
811170406;637,135;1
811170506;626,615;1
811170606;624,15;2
811171006;601,755;0
811171106;595,025;0
811171206;598,515;1
811171306;597,97;1
811171406;595,35;1
811171506;597,605;0
811171606;597,425;1
811171706;599,545;1
811171806;594,32;2
811171906;604,445;0
811172006;829,34;5
811172106;692,855;3
811172206;682,215;0
811172306;683,69;1
811172406;700,59;0
811172506;947,365;4
811172606;599,47;1
811172706;602,28;0
811173007;784,65;2
811173107;693,53;0
811173207;770,295;2
811173307;825,465;1
811173407;973,43;3
811173507;619,925;2
811173607;613,46;0
811173707;622,13;0
811173807;611,87;1
811173907;606,45;4
811174007;605,425;1
811174408;613,325;2
811174508;768,39;2
811174608;625,3;1
811174707;604,03;2
811174807;597,11;0
811174907;597,4;0
811175007;598,2;0
811175107;613,1;0
811175208;621,97;0
811175308;787,72;0
811175408;612;2
811175508;634,595;1
811175608;804,605;1
811175708;641,95;0
811176208;613,69;0
811176308;643,335;1
811176408;796,61;1
811176508;674,72;0
811176708;698,805;1
811176808;688,015;2
811177008;621,085;0
811177108;619,27;0
811177208;620;2
811177308;616,535;0
811177408;659,015;0
811177508;632,105;1
811177608;657,5;0
811177708;664,345;2
811177808;633,87;0
811177908;656,17;0
811178008;654,315;0
811178108;630,395;0
811178208;656,585;0
811178408;632,845;4
